date,revenue
06-09-2014,12.22
06-09-2014,194.94
06-09-2014,70.95
06-09-2014,91.36
06-09-2014,242.94
06-09-2014,22.05
02-04-2014,59.52
02-04-2014,161.94
02-04-2014,263.88
02-04-2014,30.48
02-04-2014,9.84
02-04-2014,35.12
14-12-2014,63.88
27-09-2014,747.558
27-09-2014,8.928
23-04-2014,23.56
23-04-2014,1272.63
23-04-2014,28.485
23-04-2014,185.376
23-04-2014,78.272
17-12-2014,4.788
13-07-2014,95.76
28-10-2014,40.2
27-06-2014,14.7
27-06-2014,704.25
10-05-2014,93.98
19-03-2014,189.882
26-07-2014,119.616
26-07-2014,255.76
26-07-2014,241.568
26-07-2014,69.3
31-05-2014,22.62
31-05-2014,14.952
31-05-2014,801.568
31-05-2014,2.376
31-05-2014,32.792
21-10-2014,7.152
22-05-2014,55.176
22-05-2014,66.26
30-05-2014,979.95
30-05-2014,22.75
11-07-2014,16.768
15-07-2014,380.864
16-04-2014,1121.568
11-06-2014,20.7
11-06-2014,1335.68
11-06-2014,32.4
04-11-2014,8.82
21-03-2014,84.784
21-03-2014,20.736
21-03-2014,16.821
21-03-2014,10.368
15-07-2014,11.632
17-07-2014,143.982
17-07-2014,494.376
17-07-2014,5.84
29-04-2014,369.576
29-04-2014,15.712
12-09-2014,8.448
12-09-2014,728.946
12-12-2014,243.384
12-12-2014,119.8
12-12-2014,300.768
16-08-2014,18.882
16-08-2014,122.328
21-05-2014,1049.2
21-05-2014,15.424
19-12-2014,18.84
02-04-2014,31.56
02-04-2014,30.144
12-12-2014,14.8
12-12-2014,302.376
12-12-2014,316
24-10-2014,379.4
23-08-2014,113.552
23-08-2014,3.318
23-08-2014,134.288
20-09-2014,701.372
20-09-2014,2.308
27-03-2014,459.95
05-11-2014,10.74
20-11-2014,14.352
20-11-2014,64.96
20-11-2014,68.6
05-11-2014,209.88
13-02-2014,146.82
16-12-2014,1652.94
16-12-2014,296.37
08-07-2014,45.584
04-12-2014,182.72
04-12-2014,400.032
04-12-2014,33.63
04-12-2014,542.646
04-12-2014,6.3
28-08-2014,51.52
28-08-2014,3.528
28-08-2014,4.624
28-08-2014,55.168
21-03-2014,11.992
08-04-2014,1199.976
19-09-2014,383.438
20-05-2014,641.96
21-05-2014,1363.96
19-08-2014,355.32
13-03-2014,12.96
16-09-2014,5.344
24-07-2014,35.216
24-07-2014,23.696
24-07-2014,265.475
08-03-2014,21.072
08-11-2014,37.44
08-11-2014,26.976
08-11-2014,11.36
08-11-2014,14.62
21-06-2014,5.16
21-06-2014,38.88
29-05-2014,185.88
19-02-2014,44.46
19-02-2014,242.94
05-01-2014,191.472
05-01-2014,5.248
05-01-2014,59.184
30-09-2014,15.936
04-09-2014,1141.47
04-09-2014,280.782
17-01-2014,322.59
17-01-2014,29.99
17-01-2014,371.97
23-10-2014,31.4
11-11-2014,155.82
11-11-2014,70.008
04-10-2014,15.648
11-04-2014,8.904
09-04-2014,20.04
09-04-2014,64.96
09-04-2014,12.96
06-03-2014,149.352
06-03-2014,12.992
16-09-2014,841.568
21-06-2014,45.056
21-06-2014,29.718
21-06-2014,15.552
21-06-2014,447.696
20-06-2014,17.12
14-12-2014,6.096
14-12-2014,1114.272
02-09-2014,21.88
31-05-2014,3.282
04-10-2014,599.292
10-09-2014,14.624
27-08-2014,10.23
27-08-2014,154.9
14-11-2014,44.02
11-01-2014,15.552
11-01-2014,63.312
11-01-2014,15.588
21-11-2014,15.696
21-11-2014,2.628
21-11-2014,14.427
23-04-2014,86.62
21-03-2014,697.16
07-09-2014,31.86
07-09-2014,722.352
09-03-2014,1363.96
09-03-2014,102.36
25-11-2014,4.416
02-10-2014,194.848
29-04-2014,29.472
13-11-2014,6.27
13-11-2014,4.368
13-11-2014,31.984
30-09-2014,40.88
02-03-2014,836.592
02-03-2014,26.38
02-03-2014,362.92
02-03-2014,4899.93
13-08-2014,6.48
16-08-2014,71.976
16-08-2014,3.15
15-06-2014,7.04
15-06-2014,8.73
15-06-2014,29.29
15-06-2014,8.64
22-10-2014,22.92
20-11-2014,100.704
20-11-2014,2.328
20-11-2014,10.78
20-11-2014,58.368
20-11-2014,40.968
20-11-2014,71.96
20-11-2014,10.368
20-11-2014,1.192
23-07-2014,6.3
13-04-2014,343.92
13-04-2014,40.99
13-04-2014,63.9
07-12-2014,19.44
06-06-2014,124.608
06-06-2014,7.56
12-12-2014,85.224
13-11-2014,287.52
13-11-2014,37.68
13-11-2014,19.98
13-11-2014,20.58
13-11-2014,17.38
03-07-2014,195.184
30-08-2014,27.93
02-12-2014,172.5
02-12-2014,179.97
25-04-2014,258.696
09-04-2014,431.928
09-04-2014,95.984
09-04-2014,1088.792
19-07-2014,544.008
19-07-2014,1.872
19-07-2014,854.352
19-07-2014,593.568
19-07-2014,338.04
15-07-2014,11.21
15-07-2014,9.144
15-07-2014,14.07
15-07-2014,41.86
15-07-2014,8.544
15-07-2014,579.136
05-12-2014,113.79
05-12-2014,78.15
05-12-2014,1.728
05-12-2014,40.56
05-12-2014,182.94
05-12-2014,193.86
31-05-2014,839.988
29-10-2014,47.952
29-10-2014,37.425
29-10-2014,63.968
29-10-2014,165.048
30-08-2014,22
15-02-2014,398.352
15-02-2014,8.72
25-12-2014,27.882
25-12-2014,540.048
25-12-2014,255.68
29-10-2014,17.616
02-10-2014,69.9
02-10-2014,41.85
22-04-2014,102.336
22-04-2014,48.792
22-04-2014,44.848
27-05-2014,10.368
27-05-2014,388.43
27-05-2014,14.352
27-05-2014,63.992
03-05-2014,86.352
06-09-2014,278.4
27-06-2014,14.9
23-11-2014,39.88
23-11-2014,12.192
23-11-2014,20.82
11-11-2014,13.216
11-11-2014,32.4
09-12-2014,114.95
24-12-2014,572.76
24-12-2014,286.38
15-07-2014,419.944
21-06-2014,46.76
21-06-2014,17.712
21-06-2014,21.78
21-06-2014,161.94
21-06-2014,161.568
10-12-2014,3.69
10-12-2014,122.12
25-09-2014,155.372
19-12-2014,38.88
19-12-2014,183.84
19-12-2014,579.3
31-03-2014,11.34
24-05-2014,37.05
17-05-2014,552.56
29-03-2014,31.4
06-05-2014,79.14
04-09-2014,83.952
05-02-2014,80.98
05-02-2014,348.84
05-02-2014,9.45
05-02-2014,18.84
05-02-2014,239.98
05-02-2014,167.96
05-02-2014,104.85
05-02-2014,484.83
05-02-2014,122.97
05-02-2014,154.44
05-02-2014,342.37
25-11-2014,17.216
25-11-2014,11.56
25-11-2014,88.4
25-11-2014,6.48
02-11-2014,21.8
02-11-2014,251.79
20-04-2014,205.176
20-04-2014,419.4
03-09-2014,75.48
03-09-2014,39.98
26-09-2014,393.165
10-07-2014,408.006
10-07-2014,165.28
27-12-2014,33.9
24-05-2014,1979.928
27-11-2014,70.98
27-11-2014,91.68
27-11-2014,33.75
27-11-2014,3040
26-09-2014,15.936
12-03-2014,244.006
27-08-2014,159.984
27-08-2014,1024.716
17-12-2014,3.68
20-11-2014,17.28
20-11-2014,17.712
14-11-2014,52.136
03-12-2014,25.92
03-12-2014,40.46
03-12-2014,33.87
15-10-2014,177
18-10-2014,18.16
25-11-2014,33.52
25-11-2014,9.94
18-09-2014,396
23-07-2014,4.16
23-07-2014,11.648
05-12-2014,212.88
30-10-2014,40.74
30-10-2014,11.67
18-06-2014,111.96
10-05-2014,9.344
10-05-2014,79.36
10-04-2014,35.352
23-04-2014,23.952
24-05-2014,4.98
27-02-2014,170.88
13-05-2014,10.96
16-04-2014,33.488
16-04-2014,8.04
09-05-2014,211.96
12-12-2014,6.672
20-04-2014,39.96
20-04-2014,5.46
20-04-2014,73.2
20-04-2014,5.84
20-04-2014,22.72
20-04-2014,9.336
16-03-2014,83.976
11-09-2014,59.48
11-09-2014,6.69
09-05-2014,1006.056
09-05-2014,10.688
09-05-2014,10.368
09-05-2014,25.12
09-05-2014,58.112
27-05-2014,19.44
27-05-2014,9.64
27-05-2014,12.7
27-05-2014,41.37
25-11-2014,41.92
25-11-2014,297.576
25-11-2014,4.344
25-11-2014,94.992
25-11-2014,74.352
25-11-2014,14.04
23-03-2014,58.58
19-05-2014,104.28
19-05-2014,17.94
30-09-2014,18.97
08-11-2014,14.82
15-03-2014,21.88
27-06-2014,13.616
09-03-2014,9.702
01-05-2014,7.712
20-05-2014,242.9
20-05-2014,454.9
20-05-2014,35.92
20-05-2014,39.76
20-05-2014,47.744
07-02-2014,100
07-02-2014,7.83
11-07-2014,338.04
11-07-2014,154.24
14-08-2014,11.232
14-08-2014,10.272
05-08-2014,35.06
05-08-2014,4.13
05-08-2014,109.8
05-08-2014,9.82
28-11-2014,97.984
28-11-2014,62.4
12-11-2014,59.97
12-11-2014,83.36
06-09-2014,107.94
08-07-2014,215.65
09-08-2014,11.168
09-08-2014,53.952
14-11-2014,4.18
26-12-2014,2575.944
26-12-2014,45.36
26-12-2014,254.24
11-02-2014,69.93
24-10-2014,16.156
24-10-2014,54.816
16-02-2014,92.064
16-02-2014,6.976
16-02-2014,62.958
16-02-2014,5.184
23-12-2014,31.32
23-12-2014,11.84
23-12-2014,22.784
08-02-2014,1127.976
19-07-2014,140.81
14-10-2014,727.45
14-10-2014,24.96
27-08-2014,6.48
11-03-2014,176.784
14-11-2014,217.056
23-04-2014,31.56
25-11-2014,24.784
30-06-2014,191.88
21-08-2014,14.78
18-05-2014,2.952
18-05-2014,27.018
16-11-2014,99.39
09-07-2014,863.64
09-07-2014,47.616
10-06-2014,177.48
28-11-2014,271.992
09-07-2014,19.968
09-07-2014,33.488
09-07-2014,8.736
09-07-2014,662.88
21-06-2014,95.968
21-06-2014,10.368
15-04-2014,933.536
15-04-2014,42.976
26-07-2014,1439.976
19-09-2014,350.98
19-09-2014,13.08
19-09-2014,900.08
20-09-2014,1606.23
20-09-2014,17.04
20-09-2014,49.53
20-09-2014,872.32
09-09-2014,33.024
09-09-2014,67.136
10-12-2014,9.392
10-12-2014,9.328
18-07-2014,162.64
18-07-2014,597
18-07-2014,55.48
02-12-2014,17.31
22-07-2014,1.941
27-11-2014,7.312
24-06-2014,122.12
24-06-2014,18.45
24-06-2014,324.9
24-06-2014,146.73
24-06-2014,3.96
16-05-2014,511.84
16-05-2014,91.96
16-05-2014,8.34
20-09-2014,159.88
02-09-2014,30.48
02-09-2014,23.988
02-09-2014,16.688
26-06-2014,422.058
26-06-2014,38.088
26-06-2014,254.352
15-07-2014,14.16
01-05-2014,22.608
26-07-2014,21.48
04-09-2014,8.808
15-05-2014,79.384
07-01-2014,34.58
14-10-2014,191.976
14-10-2014,8.288
14-10-2014,139.92
14-10-2014,15.872
14-10-2014,6.286
31-07-2014,9.264
16-10-2014,45.68
16-10-2014,60.12
16-10-2014,41.72
16-10-2014,71.6
08-05-2014,85.232
08-05-2014,44.4
08-05-2014,442.764
08-05-2014,3999.95
08-05-2014,199.95
08-05-2014,63.68
15-07-2014,29
26-06-2014,60.81
11-12-2014,153.552
11-12-2014,65.34
11-12-2014,123.92
11-12-2014,35.1
11-12-2014,44.75
02-12-2014,4.704
11-09-2014,67.56
28-11-2014,167.292
20-03-2014,72.294
02-10-2014,330.588
16-07-2014,44.4
16-11-2014,1016.792
16-11-2014,38.136
27-11-2014,494.982
16-04-2014,143.7
18-09-2014,437.85
18-09-2014,109.48
15-11-2014,499.98
15-11-2014,5.28
15-11-2014,8.26
04-09-2014,48.16
06-05-2014,14.352
17-01-2014,316
24-12-2014,141.372
25-09-2014,41.96
25-09-2014,41.7
11-11-2014,41.86
22-02-2014,490.32
14-03-2014,70.08
14-03-2014,1.272
14-03-2014,557.585
14-03-2014,127.88
14-03-2014,160.32
14-03-2014,46
24-09-2014,532.704
24-09-2014,4.912
08-07-2014,60.288
08-07-2014,2.632
08-07-2014,23.688
08-07-2014,253.372
07-05-2014,7.216
07-05-2014,49.568
07-05-2014,54.712
18-03-2014,39.68
28-09-2014,956.6648
30-12-2014,754.45
22-05-2014,2396.4
19-04-2014,230.376
19-04-2014,9.664
12-06-2014,1.344
12-06-2014,8.272
12-06-2014,12.544
23-05-2014,345
23-05-2014,174.286
23-05-2014,662.84
23-05-2014,95.1
23-05-2014,26.88
23-05-2014,257.98
01-11-2014,492.835
06-11-2014,29.12
22-01-2014,14.272
22-01-2014,451.136
22-01-2014,64.864
04-11-2014,217.584
04-11-2014,82.95
04-11-2014,87.71
04-11-2014,1101.48
11-09-2014,300.93
11-09-2014,719.96
20-05-2014,9.584
15-11-2014,7.38
19-11-2014,1117.92
12-11-2014,95.968
12-11-2014,47.992
16-10-2014,20.16
16-10-2014,29.46
16-10-2014,868.59
16-10-2014,12.96
16-10-2014,5.5
16-10-2014,121.6
01-05-2014,111.888
09-09-2014,173.94
09-09-2014,14.76
15-09-2014,25.92
16-08-2014,705.544
09-10-2014,51.712
13-08-2014,1399.944
06-05-2014,5.98
06-05-2014,246.168
09-09-2014,14.136
09-09-2014,601.47
05-06-2014,14.94
05-06-2014,1349.85
05-06-2014,136.784
05-06-2014,61.12
05-03-2014,16.99
29-04-2014,41.568
30-12-2014,186.048
18-04-2014,36.792
18-04-2014,18.624
27-09-2014,424.9575
17-08-2014,10.86
02-05-2014,3.984
02-05-2014,370.62
02-05-2014,2.742
02-10-2014,79.512
02-10-2014,28.352
07-09-2014,95.952
07-09-2014,3.204
05-08-2014,3.98
29-08-2014,15.48
29-08-2014,108.576
22-01-2014,109.9
07-02-2014,30.352
15-04-2014,81.2
25-02-2014,46.72
12-06-2014,239.97
12-03-2014,76.92
12-03-2014,481.32
04-09-2014,54.5
23-11-2014,49.44
22-10-2014,154.44
12-11-2014,257.98
06-11-2014,23.988
10-10-2014,23.976
26-10-2014,783.96
06-05-2014,6.72
06-05-2014,298.776
24-04-2014,108.336
24-04-2014,55.92
24-04-2014,78.304
10-06-2014,695.7
28-12-2014,845.488
29-11-2014,7.434
03-06-2014,64.784
20-03-2014,14.98
20-03-2014,20.32
27-08-2014,1603.136
16-08-2014,225.296
11-11-2014,14.72
11-11-2014,38.976
21-01-2014,153.568
21-01-2014,1013.488
15-01-2014,52.34
15-01-2014,4.66
15-01-2014,254.97
20-09-2014,25.44
20-09-2014,27.93
12-11-2014,6.96
30-01-2014,17.456
19-10-2014,307.92
04-01-2014,959.968
13-06-2014,23.12
28-06-2014,37.464
28-06-2014,539.658
24-11-2014,15.8
24-11-2014,14.368
24-11-2014,70.448
07-12-2014,156.792
07-12-2014,431.976
07-12-2014,35.89
07-12-2014,47.208
07-12-2014,248.08
07-12-2014,189.7
07-12-2014,59.808
05-11-2014,38.29
19-08-2014,39.99
26-05-2014,24.96
26-05-2014,19.36
26-05-2014,1267.65
21-02-2014,12.99
21-02-2014,18.56
21-02-2014,449.15
21-02-2014,31.248
03-10-2014,61.44
10-09-2014,55.36
09-09-2014,207.48
06-12-2014,191.82
26-07-2014,243.88
24-08-2014,727.296
24-08-2014,22.608
24-08-2014,666.4
25-03-2014,403.168
22-11-2014,195.136
06-05-2014,16.72
10-04-2014,517.9
10-04-2014,5.28
08-11-2014,119.976
03-01-2014,114.46
04-03-2014,447.86
04-03-2014,479.95
04-03-2014,166.44
09-12-2014,12.957
26-07-2014,15.712
18-07-2014,21.93
18-07-2014,242.94
18-07-2014,7.64
18-07-2014,51.84
18-07-2014,265.17
24-08-2014,837.6
24-08-2014,135.9
24-08-2014,34.68
24-08-2014,532.704
24-08-2014,43.1
24-08-2014,15.88
06-09-2014,347.802
08-06-2014,32.4
27-03-2014,67.64
27-03-2014,119.976
30-10-2014,67
29-05-2014,390.272
29-05-2014,62.192
22-03-2014,3.168
22-03-2014,528.43
22-03-2014,13.392
09-08-2014,23.34
09-01-2014,349.95
09-01-2014,377.928
27-05-2014,1.504
27-05-2014,34.848
25-04-2014,3.984
15-01-2014,181.797
03-05-2014,44.94
03-05-2014,45.576
21-11-2014,318.43
21-11-2014,122.92
21-11-2014,7.068
01-02-2014,56.45
18-09-2014,113.888
18-09-2014,105.584
24-12-2014,24.85
09-07-2014,107.984
09-07-2014,19.296
10-12-2014,79.974
10-12-2014,2.946
14-11-2014,3.136
05-03-2014,10.08
31-10-2014,11.68
18-09-2014,232.4
21-03-2014,86.45
28-08-2014,122.97
28-08-2014,244.615
28-08-2014,59.97
28-08-2014,81.54
28-08-2014,11.68
28-08-2014,29
18-08-2014,15.712
27-12-2014,89.97
07-05-2014,3.208
07-05-2014,26.176
17-07-2014,9.552
26-03-2014,1287.45
02-11-2014,111.672
21-09-2014,65.79
21-09-2014,271.984
21-09-2014,11.76
21-09-2014,77.52
21-09-2014,48.64
03-09-2014,1.81
03-09-2014,8.26
29-05-2014,262.24
29-05-2014,182.72
29-05-2014,131.6
29-05-2014,22.72
29-05-2014,558.4
30-07-2014,84.784
07-08-2014,70.88
08-10-2014,27.264
20-02-2014,16.496
26-11-2014,5.08
15-12-2014,133.38
02-12-2014,16.74
28-11-2014,34.95
28-11-2014,152
09-12-2014,8.56
09-12-2014,45.36
09-12-2014,1421.664
22-10-2014,7.92
01-12-2014,36.192
09-08-2014,513.024
09-08-2014,487.92
09-08-2014,15.24
30-09-2014,209.97
30-09-2014,62.94
30-09-2014,25.92
19-12-2014,900.08
21-12-2014,66.3
10-08-2014,30.816
10-08-2014,44.784
10-08-2014,569.536
22-11-2014,40.46
22-11-2014,404.94
06-09-2014,116
25-11-2014,657.552
25-06-2014,38.24
20-05-2014,21.4
29-05-2014,54.9
18-06-2014,40.74
19-09-2014,5.352
19-09-2014,99.372
19-09-2014,2.672
30-03-2014,45.528
30-03-2014,844.116
30-03-2014,812.736
04-07-2014,12.96
04-07-2014,3.96
10-09-2014,15.008
08-06-2014,4.784
08-06-2014,4.73
26-07-2014,7.89
26-07-2014,65.5
26-07-2014,2430.08
06-12-2014,465.18
12-09-2014,22.428
12-09-2014,37.52
13-03-2014,29.34
30-11-2014,58.416
06-09-2014,9.555
23-09-2014,40.776
23-09-2014,63.936
11-11-2014,9.216
11-11-2014,41.958
11-11-2014,89.568
11-11-2014,22.248
11-11-2014,334.88
11-11-2014,148.288
11-11-2014,4.624
11-11-2014,178.92
11-11-2014,69.888
19-07-2014,33.8
14-06-2014,377.97
09-04-2014,8.872
09-04-2014,121.104
14-12-2014,9.84
21-05-2014,2.694
16-10-2014,232.96
16-10-2014,66.54
16-10-2014,43.26
09-01-2014,15.168
20-09-2014,5.04
20-09-2014,249.95
18-09-2014,33.4
21-12-2014,18.92
21-12-2014,15.42
27-12-2014,18.72
06-06-2014,360.38
06-06-2014,11.16
06-06-2014,14.94
18-03-2014,129.98
18-03-2014,32.54
10-12-2014,10.9
10-12-2014,59.98
10-12-2014,61.929
15-01-2014,16.52
15-01-2014,60.12
15-01-2014,49.536
24-09-2014,118.25
24-09-2014,368.97
04-03-2014,42.784
04-03-2014,563.43
01-03-2014,111.104
14-08-2014,241.96
14-08-2014,8.52
22-03-2014,99.372
22-03-2014,1.344
18-12-2014,2003.52
13-05-2014,82.368
01-11-2014,1085.42
05-09-2014,3.912
05-09-2014,62.376
18-04-2014,29.05
15-10-2014,102.592
15-10-2014,22.704
15-10-2014,93.024
15-10-2014,12.768
15-10-2014,35.008
15-10-2014,39.152
09-07-2014,823.96
09-07-2014,15.984
06-09-2014,23.472
06-09-2014,86.058
06-09-2014,108.784
06-09-2014,10.272
29-10-2014,38.19
04-03-2014,134.85
25-11-2014,659.9
25-11-2014,1684.752
25-11-2014,559.92
11-11-2014,279.944
29-06-2014,359.976
15-03-2014,241.332
15-03-2014,5.184
15-03-2014,145.544
27-08-2014,5.472
27-08-2014,47.984
11-12-2014,1424.9
24-06-2014,835.17
17-05-2014,17.34
19-11-2014,6.368
19-11-2014,48.848
19-11-2014,19.648
19-11-2014,255.108
02-03-2014,159.984
27-06-2014,22.14
30-05-2014,11.277
30-05-2014,4.448
30-05-2014,44.76
23-09-2014,7.872
02-04-2014,88.04
21-05-2014,40.635
30-03-2014,13.48
30-03-2014,29.8
30-03-2014,414
30-03-2014,41.328
23-10-2014,39.92
08-07-2014,287.968
08-07-2014,2799.96
08-07-2014,48.94
18-04-2014,257.499
18-04-2014,79.12
04-03-2014,637.896
04-03-2014,287.91
04-03-2014,36.6
27-09-2014,236.88
27-09-2014,29.9
27-09-2014,100
13-12-2014,18.693
13-12-2014,383.952
02-11-2014,68.112
11-03-2014,39.992
29-08-2014,13.14
29-08-2014,10.024
29-08-2014,156.3728
26-09-2014,60.048
26-09-2014,5.022
05-08-2014,302.384
05-08-2014,20.952
05-08-2014,11.784
02-04-2014,20.7
02-04-2014,10.95
02-04-2014,14.352
23-08-2014,4.312
25-11-2014,1219.96
31-12-2014,6.924
14-06-2014,18.9
30-12-2014,38.088
30-12-2014,2.808
17-04-2014,12.84
02-07-2014,14.2
02-07-2014,12.96
02-07-2014,58.34
17-06-2014,46.35
06-12-2014,81.94
22-10-2014,98.16
27-09-2014,9.99
09-04-2014,24.7
04-12-2014,394.816
04-12-2014,18.192
05-03-2014,128.4
01-10-2014,1.964
25-03-2014,22.48
24-07-2014,11.416
05-04-2014,149.97
05-04-2014,27.81
02-12-2014,88.08
02-12-2014,751.92
15-03-2014,196.784
06-11-2014,863.128
06-11-2014,3.564
06-11-2014,956.6648
06-11-2014,12.588
06-11-2014,171.96
25-11-2014,207.76
17-04-2014,9099.93
17-04-2014,9.96
17-04-2014,25.3
05-10-2014,59.752
29-06-2014,7.752
29-06-2014,33.568
25-01-2014,9.21
25-01-2014,18
19-09-2014,631.782
19-09-2014,60.72
22-05-2014,111.96
06-11-2014,104.9
06-11-2014,39.68
06-11-2014,51.75
19-11-2014,103.968
28-10-2014,43.92
28-10-2014,25.032
09-09-2014,70.368
09-09-2014,59.96
16-11-2014,361.376
18-03-2014,199.9
18-03-2014,901.95
18-03-2014,971.5
27-12-2014,11.328
21-11-2014,9.08
21-11-2014,314.55
21-11-2014,4.91
04-11-2014,20
04-11-2014,7.98
04-11-2014,24.1
04-11-2014,8.75
04-11-2014,842.94
04-05-2014,2.182
04-05-2014,27.384
04-05-2014,26.406
28-12-2014,10.368
28-12-2014,23.68
23-07-2014,109.95
23-07-2014,965.85
23-07-2014,29.2
23-07-2014,32.4
05-07-2014,25.4
05-07-2014,43.96
05-07-2014,1279.165
05-07-2014,27.92
04-11-2014,15.26
04-11-2014,43.32
04-11-2014,43.584
04-11-2014,116.28
04-11-2014,9.296
04-11-2014,19.44
04-11-2014,314.55
11-04-2014,12.96
11-04-2014,23.2
11-11-2014,37.3
11-11-2014,81.96
03-10-2014,54.792
07-09-2014,10.784
28-10-2014,290.98
16-09-2014,21.4
16-09-2014,48.664
26-09-2014,16.56
15-11-2014,2.296
15-11-2014,408.006
15-11-2014,40.44
27-02-2014,56.82
13-12-2014,657.93
13-12-2014,33.48
13-12-2014,13.9
13-12-2014,26.86
20-09-2014,25.632
11-06-2014,23.616
27-08-2014,8.26
27-12-2014,17.76
27-12-2014,302.384
27-12-2014,146.352
27-12-2014,7.9
27-12-2014,902.712
27-12-2014,53.97
06-12-2014,33.92
24-01-2014,31.36
06-09-2014,62.79
06-09-2014,28.44
14-11-2014,77.55
14-11-2014,24.88
14-11-2014,140.75
14-11-2014,36.63
12-09-2014,1599.92
12-09-2014,11.09
13-08-2014,145.764
27-04-2014,434.646
19-09-2014,3
23-09-2014,7.506
23-09-2014,16.56
10-01-2014,79.92
10-01-2014,69.98
01-08-2014,283.14
01-08-2014,635.96
01-08-2014,118.99
01-08-2014,272.94
15-07-2014,29.61
02-12-2014,863.928
30-08-2014,241.92
30-08-2014,163.88
30-08-2014,3.486
30-08-2014,10.584
25-06-2014,440.91
25-06-2014,8.712
18-05-2014,65.17
18-05-2014,14.62
18-05-2014,173.24
23-05-2014,14.73
12-11-2014,9.888
12-11-2014,671.544
19-07-2014,15.576
08-04-2014,658.746
04-03-2014,25.35
04-03-2014,35.28
25-12-2014,33.4
08-10-2014,837.6
10-12-2014,40.68
31-12-2014,5.904
31-12-2014,13.712
20-09-2014,11.952
20-09-2014,6.24
19-02-2014,8.67
19-02-2014,25.71
15-05-2014,57.582
15-05-2014,31.104
15-05-2014,30.192
15-05-2014,43.6
15-05-2014,4.768
15-05-2014,10.38
15-05-2014,13.392
15-11-2014,380.058
15-11-2014,1199.976
15-11-2014,48.576
09-05-2014,17.94
11-07-2014,44.856
22-11-2014,30.345
22-11-2014,127.554
22-11-2014,77.952
16-05-2014,13.776
24-12-2014,5.553
08-11-2014,14.96
19-12-2014,1793.98
11-11-2014,20.368
11-11-2014,49.848
30-07-2014,2.214
29-11-2014,182.67
29-11-2014,101.7
29-11-2014,1126.02
29-11-2014,1263.3
24-12-2014,8.82
24-12-2014,37.94
24-12-2014,4.2
24-12-2014,227.28
24-12-2014,47.9
24-12-2014,61.96
24-12-2014,1117.92
23-08-2014,26.352
02-01-2014,173.94
